"","client","attr_id","attr_val"
"1",1000000,163,"Internal Account"
"2",1000001,163,"Internal Account"
"3",1000002,163,"Internal Account"
"4",1000003,163,"Internal Account"
"5",1000004,163,"Internal Account"
"6",1000005,163,"Internal Account"
"7",1000006,163,"Internal Account"
"8",1001099,161,"Employee"
"9",1001881,161,"Employee"
"10",1001926,161,"Employee"
"11",1002147,161,"Employee"
"12",1002669,161,"Employee"
"13",1002865,161,"Employee"
"14",1003795,161,"Employee"
"15",1003832,164,"Ex-Employee"
"16",1004128,161,"Employee"
"17",1004216,161,"Employee"
"18",1004279,161,"Employee"
"19",1004607,164,"Ex-Employee"
"20",1004668,161,"Employee"
"21",1005066,164,"Ex-Employee"
"22",1005068,161,"Employee"
"23",1005080,161,"Employee"
"24",1005138,161,"Employee"
"25",1005176,161,"Employee"
"26",1005196,161,"Employee"
"27",1005289,163,"Internal Account"
"28",1005310,161,"Employee"
"29",1005313,163,"Internal Account"
"30",1005316,161,"Employee"
"31",1005448,161,"Employee"
"32",1005520,161,"Employee"
"33",1005693,161,"Employee"
"34",1005699,161,"Employee"
"35",1005776,161,"Employee"
"36",1005789,161,"Employee"
"37",1005949,161,"Employee"
"38",1006044,161,"Employee"
"39",1006514,164,"Ex-Employee"
"40",1007368,161,"Employee"
"41",1007501,161,"Employee"
"42",1007596,161,"Employee"
"43",1007756,164,"Ex-Employee"
"44",1007910,161,"Employee"
"45",1008026,161,"Employee"
"46",1008096,161,"Employee"
"47",1008183,161,"Employee"
"48",1008470,161,"Employee"
"49",1009032,161,"Employee"
"50",1009350,161,"Employee"
"51",1009355,164,"Ex-Employee"
"52",1010330,161,"Employee"
"53",1010585,161,"Employee"
"54",1010708,161,"Employee"
"55",1010802,161,"Employee"
"56",1010824,161,"Employee"
"57",1012172,161,"Employee"
"58",1012369,161,"Employee"
"59",1012565,161,"Employee"
"60",1012902,161,"Employee"
"61",1012940,161,"Employee"
"62",1012994,161,"Employee"
"63",1013016,161,"Employee"
"64",1013356,161,"Employee"
"65",1013544,161,"Employee"
"66",1014139,163,"Internal Account"
"67",1014142,163,"Internal Account"
"68",1014874,161,"Employee"
"69",1015089,161,"Employee"
"70",1015262,163,"Internal Account"
"71",1016950,163,"Internal Account"
"72",1016952,163,"Internal Account"
"73",1016955,161,"Employee"
"74",1017292,162,"Board"
"75",1017359,161,"Employee"
"76",1017631,161,"Employee"
"77",1017632,164,"Ex-Employee"
"78",1018129,161,"Employee"
"79",1018171,161,"Employee"
"80",1018800,161,"Employee"
"81",1018850,161,"Employee"
"82",1019143,161,"Employee"
"83",1019475,161,"Employee"
"84",1019762,161,"Employee"
"85",1019822,161,"Employee"
"86",1020615,161,"Employee"
"87",1022099,161,"Employee"
"88",1022207,161,"Employee"
"89",1022300,161,"Employee"
"90",1023286,161,"Employee"
"91",1024077,161,"Employee"
"92",1024609,163,"Internal Account"
"93",1024816,161,"Employee"
"94",1024868,161,"Employee"
"95",1025726,161,"Employee"
"96",1026658,161,"Employee"
"97",1026989,161,"Employee"
"98",1028322,161,"Employee"
"99",1029223,161,"Employee"
"100",1031061,164,"Ex-Employee"
"101",1033307,161,"Employee"
"102",1034683,161,"Employee"
"103",1036025,161,"Employee"
"104",1036513,161,"Employee"
"105",1036525,161,"Employee"
"106",1036775,161,"Employee"
"107",1037602,161,"Employee"
"108",1041022,164,"Ex-Employee"
"109",1041574,164,"Ex-Employee"
"110",1042202,161,"Employee"
"111",1042231,161,"Employee"
"112",1042282,161,"Employee"
"113",1042805,161,"Employee"
"114",1042829,163,"Internal Account"
"115",1042862,163,"Internal Account"
"116",1042863,163,"Internal Account"
"117",1042864,163,"Internal Account"
"118",1042865,163,"Internal Account"
"119",1042870,163,"Internal Account"
"120",1042872,163,"Internal Account"
"121",1043188,161,"Employee"
"122",1043306,161,"Employee"
"123",1043488,161,"Employee"
"124",1044109,161,"Employee"
"125",1044922,161,"Employee"
