"","rn","beta2","str2","beta3","str3","beta6","str6","beta7","str7","beta10","str10","beta11","str11","beta14","str14","beta15","str15","beta","str"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","(Intercept)","0.41849733587782","***","0.410369461432473","***","0.358434241665693","***","0.424940782048833","***","0.363347509740435","***","0.648407721584344","***","0.677645063387155","***","0.491550995820035","***","0.48967789541633","***"
"3","(Intercept)p","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)","","'(0.000)",""
"4","age","1.39848776477684e-05","**","1.43934356401591e-05","**","1.2601619952584e-05","**","1.30921253368965e-05","**","1.21998798434784e-05","**","-0.000153482509252942","","-0.000143587899502259","","-2.79709017281717e-06","","-4.40874409259958e-06",""
"5","agep","'(0.019)","","'(0.015)","","'(0.035)","","'(0.028)","","'(0.041)","","'(0.371)","","'(0.405)","","'(0.712)","","'(0.566)",""
"6","R2","0.00425551290281152","","0.00700997087908395","","0.011009976366601","","0.00681062075313959","","0.0149791196096776","","0.00553253517107214","","0.0187099404996988","","0.00011816364997878","","0.00281287686629142",""
"7","n","1299","","1299","","1296","","1299","","1296","","147","","147","","1152","","1149",""
"8","genderTRUE",NA,NA,"0.040162498364181","*",NA,NA,NA,NA,"0.0310103133985061","",NA,NA,"0.088449072684218","",NA,NA,"-0.025732582537203",""
"9","genderTRUEp",NA,NA,"'(0.058)","",NA,NA,NA,NA,"'(0.146)","",NA,NA,"'(0.291)","",NA,NA,"'(0.291)",""
"10","enterage",NA,NA,NA,NA,"0.00151750660574745","***",NA,NA,"0.00138800030871319","***",NA,NA,"-0.0013881777634333","",NA,NA,"0.000351546929226578",""
"11","enteragep",NA,NA,NA,NA,"'(0.003)","",NA,NA,"'(0.007)","",NA,NA,"'(0.456)","",NA,NA,"'(0.556)",""
"12","TradesOptions",NA,NA,NA,NA,NA,NA,"-0.0593559898002895","*","-0.0559335896220332","*",NA,NA,"0.0669232639040413","",NA,NA,"-0.0514519456320697",""
"13","TradesOptionsp",NA,NA,NA,NA,NA,NA,"'(0.068)","","'(0.085)","",NA,NA,"'(0.505)","",NA,NA,"'(0.179)",""
